FULLNAME,TITLE,THEME,UPDATEFREQ,FIRSTADDED_OPENDATA,LASTPOSTED_SDW,WHENREFRESHED_OPENDATA,SHAPEFILE
acs_b17001d_povertysexageasian,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Asian Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17001e_povertysexagehawaiianpi,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Native Hawaiian And Other Pacific Islander Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17001f_povertysexageotherrace,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Some Other Race Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17001g_povertysexage2races,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Two Or More Races) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17001h_povertysexagewhnothisp,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (White Alone; Not Hispanic Or Latino) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17001i_povertysexagehispanic,2014-2018 ACS: Poverty Status In The Past 12 Months By Sex By Age (Hispanic Or Latino) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17010_povertyfamily,2014-2018 ACS: Poverty Status In The Past 12 Months Of Families By Family Type By Presence Of Related Children Under 18 Years By Age Of Related Children (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17020a_povertyagewhite,2014-2018 ACS: Poverty Status In The Past 12 Months By Age (White Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17020b_povertyageblack,2014-2018 ACS: Poverty Status In The Past 12 Months By Age (Black Or African American Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17020c_povertyageamerind,2014-2018 ACS: Poverty Status In The Past 12 Months By Age (American Indian And Alaska Native Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17020d_povertyageasian,2014-2018 ACS: Poverty Status In The Past 12 Months By Age (Asian Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17020e_povertyagehawaiianpi,2014-2018 ACS: Poverty Status In The Past 12 Months By Age (Native Hawaiian And Other Pacific Islander Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17020f_povertyageotherraces,2014-2018 ACS: Poverty Status In The Past 12 Months By Age (Some Other Race Alone) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17020g_povertyage2races,2014-2018 ACS: Poverty Status In The Past 12 Months By Age (Two Or More Races) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17020h_povertyagewhitenothisp,2014-2018 ACS: Poverty Status In The Past 12 Months By Age (White Alone; Not Hispanic Or Latino) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17020i_povertyagehispanic,2014-2018 ACS: Poverty Status In The Past 12 Months By Age (Hispanic Or Latino) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b17024_ageratioincometopoverty,2014-2018 ACS: Age By Ratio Of Income To Poverty Level In The Past 12 Months (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b19001_householdincome,2014-2018 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b19001a_householdincomewhite,2014-2018 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (White Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b19001b_householdincomeblack,2014-2018 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Black Or African American Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180322,20201020,20180214,YES
acs_b19001c_householdincomeamerind,2014-2018 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (American Indian And Alaska Native Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b19001d_householdincomeasian,2014-2018 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Asian Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b19001e_hsehldincomehawaiianpi,2014-2018 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Native Hawaiian And Other Pacific Islander Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b19001f_householdincomeotherrace,2014-2018 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Some Other Race Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b19001g_householdincome2races,2014-2018 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Two Or More Races Householder) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b19001h_hsehldincomewhitenothisp,2014-2018 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (White Alone; Not Hispanic Or Latino Householder) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b19001i_householdincomehispanic,2014-2018 ACS: Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Hispanic Or Latino Householder) (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b19013_medianhouseholdincome,2014-2018 ACS: Median Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),census,None planned,20180214,20201020,20180214,YES
acs_b19019_medianhsehldincomebysize,2014-2018 ACS: Median Household Income In The Past 12 Months (In Inflation-Adjusted Dollars) By Household Size (Based on 2010 Census Tracts),census,None planned,20180302,20201020,20180214,YES
acs_b19101_familyincome,2014-2018 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),census,None planned,20180214,20201020,20180214,YES
acs_b19101a_familyincomewhite,2014-2018 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (White Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b19101b_familyincomeblack,2014-2018 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Black Or African American Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b19101c_familyincomeamerind,2014-2018 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (American Indian And Alaska Native Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b19101d_familyincomeasian,2014-2018 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Asian Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b19101e_familyincomehawaiianpi,2014-2018 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Native Hawaiian And Other Pacific Islander Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b19101f_familyincomeotherrace,2014-2018 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Some Other Race Alone Householder) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b19101g_familyincome2races,2014-2018 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Two Or More Races Householder) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b19101h_familyincomewhitenothisp,2014-2018 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (White Alone; Not Hispanic Or Latino Householder) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b19101i_familyincomehispanic,2014-2018 ACS: Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Hispanic Or Latino Householder) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b19113_medianfamilyincome,2014-2018 ACS: Median Family Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b19301_percapitaincome,2014-2018 ACS: Per Capita Income In The Past 12 Months (In Inflation-Adjusted Dollars) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b21001_sexagevetstatus,2014-2018 ACS: Sex By Age By Veteran Status For The Civilian Population 18 Years And Over (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25001_housingunits,2014-2018 ACS: Housing Units (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25002_occupancystatus,2014-2018 ACS: Occupancy Status (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25003_tenure,2014-2018 ACS: Tenure (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25004_vacancystatus,2014-2018 ACS: Vacancy Status (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25007_tenureagehouseholder,2014-2018 ACS: Tenure By Age Of Householder (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25009_tenurehouseholdsize,2014-2018 ACS: Tenure By Household Size (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25019_aggregatenumberrooms,2014-2018 ACS: Aggregate Number Of Rooms (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25024_unitsinstructure,2014-2018 ACS: Units In Structure (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25032_tenureunitsstructure,2014-2018 ACS: Tenure By Units In Structure (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25033_totalpophseunitstenure,2014-2018 ACS: Total Population In Occupied Housing Units By Tenure By Units In Structure (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25034_yrstructurebuilt,2014-2018 ACS: Year Structure Built (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25035_medianyrstructurebuilt,2014-2018 ACS: Median Year Structure Built (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25036_tenureyrstructurebuilt,2014-2018 ACS: Tenure By Year Structure Built (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25056_contractrent,2014-2018 ACS: Contract Rent (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25057_lowercontractrentquartile,2014-2018 ACS: Lower Contract Rent Quartile (Dollars) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25058_mediancontractrent,Title not available,census,Update Frequency not available,20180319,20201020,20180214,YES
acs_b25059_uppercontractrentquartile,2014-2018 ACS: Upper Contract Rent Quartile (Dollars) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25065_aggregategrossrent,2014-2018 ACS: Aggregate Gross Rent (Dollars) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25070_grossrentpercent,2014-2018 ACS: Gross Rent As A Percentage Of Household Income In The Past 12 Months (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25071_mediangrossrentpercent,2014-2018 ACS: Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25074_hsehldincomegrossrentper,2014-2018 ACS: Household Income By Gross Rent As A Percentage Of Household Income In The Past 12 Months (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25076_lowervaluequartile,2014-2018 ACS: Lower Value Quartile (Dollars) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25077_medianvalue,2014-2018 ACS: Median Value (Dollars) (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25078_uppervaluequartile,2014-2018 ACS: Upper Value Quartile (Dollars) (Based on 2010 Census Tracts),census,None planned,20190319,20201020,20180214,YES
acs_b25083_medianvaluemobilehomes,2014-2018 ACS: Median Value (Dollars) For Mobile Homes (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25091_mortgagepercenthsehldinc,2014-2018 ACS: Mortgage Status By Selected Monthly Owner Costs As A Percentage Of Household Income In The Past 12 Months (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25094_selectedmonthlyownercosts,2014-2018 ACS: Selected Monthly Owner Costs (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b25095_hsehldincownercostpercent,2014-2018 ACS: Household Income By Selected Monthly Owner Costs As A Percentage Of Household Income In The Past 12 Months (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b26001_groupquarterspopulation,2014-2018 ACS: Group Quarters Population (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b27001_healthinscover,2014-2018 ACS: Health Insurance Coverage Status By Sex By Age (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_b28001_typecomputerhshld,2014-2018 ACS: Types Of Computers In Household (Based on 2010 Census Tracts),census,None planned,20190111,20201020,20190116,YES
acs_b28003_typeintersubscriphshld,2014-2018 ACS: Presence Of A Computer And Type Of Internet Subscription In Household (Based on 2010 Census Tracts),census,None planned,20190111,20201020,20190116,YES
acs_b28005_agetypeinternethshld,2014-2018 ACS: Age By Presence Of A Computer And Types Of Internet Subscription In Household (Based on 2010 Census Tracts),census,None planned,20190111,20201020,20190116,YES
acs_b28006_edutypeinternethshld,2014-2018 ACS: Educational Attainment By Presence Of A Computer And Types Of Internet Subscription In Household (Based on 2010 Census Tracts),census,None planned,20190111,20201020,20190116,YES
acs_b28007_labortypeinternethshld,2014-2018 ACS: Labor Force Status By Presence Of A Computer And Types Of Internet Subscription In Household (Based on 2010 Census Tracts),census,None planned,20190111,20201020,20190116,YES
acs_b28008_typeintersubscrippop,2014-2018 ACS: Presence Of A Computer And Type Of Internet Subscription In Household (Based on 2010 Census Tracts),census,None planned,20190111,20201020,20190116,YES
acs_c16002_hsehldlanglimengspeak,2014-2018 ACS: Household Language By Household Limited English Speaking Status (Based on 2010 Census Tracts),census,None planned,20190111,20201020,20190116,YES
acs_c17002_ratioincomepoverty,2014-2018 ACS: Ratio Of Income To Poverty Level In The Past 12 Months (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_c24010_sexoccupation,2014-2018 ACS: Sex By Occupation For The Civilian Employed Population 16 Years And Over (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_c24030_sexbyindustry,2014-2018 ACS: Sex By Industry For The Civilian Employed Population 16 Years And Over (Based on 2010 Census Tracts),census,None planned,20180319,20201020,20180214,YES
acs_s1601_languagespokeathome,2014-2018 ACS: Language Spoken At Home (Based on 2010 Census Tracts),census,None planned,20190111,20201020,20190116,YES
acs_s2801_typecompinternetsub,2014-2018 ACS: Types Of Computers And Internet Subscriptions (Based on 2010 Census Tracts),census,None planned,20190111,20201020,20190116,YES
acs_s2802_typeinternetsubselchar,2014-2018 ACS: Types Of Internet Subscriptions By Selected Characteristics (Based on 2010 Census Tracts),census,None planned,20190111,20201020,20190116,YES
ada_ramp_point,RoadsGIS.RSDLIB.ADA_Ramp_point,transportation,Update Frequency not available,20171108,20230206,20230208,YES
addr_sitetype_lut,Look Up (Decode) table for ADDRESS_POINT sitetype ITEM,admin,As needed,20181025,20130108,20181108,YES
address_point,Addresses in King County,admin,Monthly,20160428,20230205,20230208,YES
adverse_weather_districts_area,Metro Adverse Weather Districts in King County,transportation,As needed,20171107,20130205,20130205,YES
agrpddst_area,Agricultural Production District,natres,As needed,20160929,20230118,20230208,YES
airdst_area,Airport Districts of King County,district,As needed,20171107,20220825,20220831,YES
airports_area,Airports in King County,transportation,As needed,20160502,20130105,20130105,YES
annexed_landslide_sao1990_area,Landslide hazards; incorporated KC 1990,enviro,Update Frequency not available,20171012,20160909,20160909,YES
antiicer_route_line,Roads Anti-Ice Routes,transportation,Annually,20171107,20191023,20191030,YES
asgwc_area,Areas Susceptible to Groundwater Contamination,enviro,As needed,20171108,20141213,20211117,YES
ballot_dropbox_point,Ballot Drop Boxes in King County ,admin,As needed,20181025,20220707,20220713,YES
barricade_point,Barricades maintained by King County Roads Division,transportation,Daily,20171107,20230206,20230208,YES
basin_condition_area,Environmental Condition of Basins,enviro,None planned,20171107,20130109,20130109,YES
bike_lockers_point,King County Transit Facilities With Bicycle Lockers,transportation,As needed,20171107,20220811,20220824,YES
blkgrp00_area,Census 2000 Block Groups,census,None planned,20160502,20121231,20211021,YES
blkgrp00_shore_area,Census 2000 Block Groups - Major WTRBDY Features Removed,census,None planned,20171107,20121116,20121116,YES
blkgrp00_shore_center_point,2000 Census Block Group - Centers for water clipped features,census,None planned,20171107,20121114,20121114,YES
blkgrp10_area,2010 Census Blocks for King County - Conflated to Parcels,census,None planned,20171107,20130116,20210922,YES
blkgrp10_shore_area,2010 Census Block Groups for King County - Conflated to Parcels - Major Waterbodies Erased,census,None planned,20171107,20130103,20130103,YES
blkgrp10_shore_center_point,2010 Census Block Groups for King County - Conflated to Parcels - Major Waterbodies Erased - Block Group Centers,census,None planned,20171107,20130113,20130113,YES
blkgrp20_area,2020 Census Block Groups for King County,census,As needed,20210819,99999999,20210818,YES
blkgrp20_pl94groupqrtrspop,2020 Census State Redistricting Data - Group Quarters Population for Block Groups,census,Update Frequency not available,20210824,20210924,20211013,YES
blkgrp20_pl94totalpop,2020 Census State Redistricting Data - Total Population for Block Groups,census,Update Frequency not available,20210824,20210924,20211013,YES
blkgrp20_pl94voteagepophousing,2020 Census State Redistricting Data - Voting Age Population and Housing Status for Block Groups,census,Update Frequency not available,20210824,20210924,20211013,YES
blocks00_area,Census 2000 Blocks,census,None planned,20171107,20121231,20121231,YES
blocks10_area,2010 Census Blocks for King County - Conflated to Parcels,census,None planned,20171107,20130116,20130116,YES
blocks20_area,2020 Census Blocks for King County,census,Update Frequency not available,20210819,99999999,20210818,YES
blocks20_pl94groupqrtrspop,2020 Census State Redistricting Data - Group Quarters Population for Blocks,census,Update Frequency not available,20210824,20210924,20211013,YES
blocks20_pl94totalpop,2020 Census State Redistricting Data - Total Population for Blocks,census,Update Frequency not available,20210824,20210924,20211013,YES
blocks20_pl94voteagepophousing,2020 Census State Redistricting Data - Voting Age Population and Housing Status for Blocks,census,Update Frequency not available,20210824,20210924,20211013,YES
bridges_point,Bridges Maintained by King County,transportation,As needed,20171107,20230206,20230208,YES
bus_bases_point,Metro Bus Bases in King County,transportation,As needed,20171107,20130206,20130206,YES
business_point,PLIBRARY.TRANSPORTATION.xxxx798100,transportation,Update Frequency not available,20181025,20140909,20181108,YES
capacitychargecsa_area,maint.WTD.d_capacitychargecsa_post,utility,Update Frequency not available,20201029,20221018,20221019,YES
cara_area,Critical Aquifer Recharge Areas,enviro,As needed,20171107,20121207,20121207,YES
cemdst_area,Cemetery Districts of King County,district,As needed,20171107,20220825,20220831,YES
changeablemessagesign_point,Changeable Message Sign,transportation,As needed,20171121,20230206,20230208,YES
charging_stations_point,King County Transit Facilities with Electrical Outlets,transportation,As needed,20171121,20150204,20150204,YES
chinbuff_area,Mapped Chinook Distribution in King County,enviro,None planned,20171121,20130111,20130111,YES
chnlmigr_area,Channel Migration Areas in King County,hydro,As needed,20160901,20220519,20220525,YES
cip_dnrp_point,Capital Improvement Projects (CIP) - DNRP,planning,As needed,20171121,20130110,20130110,YES
city_area,Incorporated Areas of King County,admin,As needed,20160303,20211129,20211201,YES
city_annex_area,Cities with Pending Annexations and Annexation History,admin,As needed,20160927,20211129,20211201,YES
city_kc_area,Cities and Unincorporated King County,admin,As needed,20160919,20211129,20211201,YES
city_lut,City Jurisdiction Code  Lookup Table,admin,None planned,20181025,20200724,20200729,YES
citydst_area,Incorporated Areas of King County,district,As needed,20160502,20220825,20220831,YES
coalmine_area,Coal Mine Hazards,enviro,None planned,20160901,20130109,20211021,YES
code_restriction_area,Clearing Restriction Areas,planning,None planned,20171121,20130110,20130110,YES
comfort_stations_point,King County Metro Comfort Stations,transportation,Daily,20171121,99999999,20211124,YES
comfortstation_point,TRANSIT.ComfortStation_point,transportation,Update Frequency not available,20211209,20230206,20230208,YES
common_interest_point,Common Points of Interest for King County,admin,As needed,20160502,20221219,20221221,YES
community_plan_area,Community Plan Area,planning,None planned,20160926,20130110,20130110,YES
community_service_area_area,Community Service Areas in King County,admin,Update Frequency not available,20161004,20210806,20210818,YES
community_service_detail_area,Community Service Areas with Subarea Details in King County,admin,Annually,20220328,20220331,20220406,YES
complu_area,Comprehensive Plan Land Use,planning,Annually,20160502,20220915,20220921,YES
congdst_area,Congressional Districts in King County,district,As needed,20171121,20220825,20220831,YES
congdst_area_1992,Title not available,district,Update Frequency not available,20181029,99999999,20181108,NULL
congdst_area_2002,Title not available,district,Update Frequency not available,20181029,99999999,20181108,NULL
congdst_area_2012,Title not available,district,Update Frequency not available,20220328,99999999,20220323,NULL
critical_areas_area,Areas of Critical Environmental Sensitivity defined by King County CAO,enviro,As needed,20171121,20170510,20170510,YES
cso_outfalls_point,Combined Sewer Outfall Locations (CSO),utility,Update Frequency not available,20181221,20220125,20210602,YES
