DistrictCode,percent_met_standard
17001,0.5555795164855477
17210,0.28376036171816127
17216,0.4876269621421976
17400,0.7879348630643968
17401,0.27365258721190927
17402,0.5898027158595952
17403,0.36862058146831206
17404,0.47619047619047616
17405,0.6785628502802242
17406,0.23802988716071974
17407,0.6048548548548549
17408,0.3663089235324051
17409,0.6336146884789419
17410,0.6905430206196697
17411,0.7087494928810154
17412,0.6060012768674186
17414,0.7202609363008442
17415,0.4057993853912221
17417,0.6401565636967929
27417,0.3857727737973388
